# GimmeMotifs version 0.17.1
# Input: Strong.fasta
# Motifs: gimme.test/combined.pfm
# Scoring: GC frequency normalized z-score
	GimmeMotifs_1	GimmeMotifs_2	GimmeMotifs_3	GimmeMotifs_4	GimmeMotifs_5	GimmeMotifs_6	GimmeMotifs_7	GimmeMotifs_8	GimmeMotifs_9	GimmeMotifs_10	GimmeMotifs_11
 StrongFlank_43	1.176075	0.290819	-1.648374	-0.724381	0.730616	1.070249	1.769791	-0.660838	2.324312	0.212651	2.279063
 StrongFlank_44	-0.147713	-0.510527	-0.478982	-1.226228	-0.768492	-0.720123	0.826694	-1.307156	1.330360	1.156591	-1.396161
 StrongFlank_45	-0.553882	-1.317469	-1.078715	0.781548	0.721880	1.410270	-0.362020	2.484776	1.330360	-0.976810	-0.594469
 StrongFlank_46	2.321434	1.435199	0.518346	0.696976	-0.084295	1.357825	0.701774	-0.176665	2.189336	-0.634745	-0.149312
 StrongFlank_47	-0.963422	-0.521576	2.190064	0.193044	3.604873	-0.931367	-0.922397	1.181960	1.330360	0.697609	0.207224
 StrongFlank_48	1.197271	0.080333	-0.778000	0.778421	0.446572	1.029920	0.610661	2.441344	1.116074	0.192390	-1.303749
 StrongFlank_49	-0.395632	5.767644	0.579160	2.969669	-1.805914	0.989554	3.432400	4.200033	0.048083	-0.177423	1.261066
 StrongFlank_50	-0.146062	0.880000	1.065234	-0.351787	-0.715699	1.129094	-1.060730	0.931707	0.178158	0.041317	0.423354
 StrongFlank_51	-1.216766	0.159430	-0.807223	0.431607	-0.000508	0.976627	-0.478751	-0.271974	0.095834	-0.029077	1.757078
 StrongFlank_52	0.382340	0.079546	1.376656	-0.595003	1.543275	-0.974277	-0.549888	-0.138345	0.017310	0.648338	1.096116
 StrongFlank_53	-0.741023	0.146649	-1.193857	-0.905864	-0.614756	-0.727168	2.432261	-0.294087	-0.841574	0.080518	-0.152614
 StrongFlank_54	0.015277	1.489184	0.079218	-0.204235	0.318610	-0.948968	1.633872	0.253388	2.324312	0.874449	-0.358153
 StrongFlank_55	1.372758	1.800691	1.275800	2.031138	0.344924	1.476058	2.144099	0.567541	1.427813	-0.591674	-0.187054
 StrongFlank_56	-0.239427	-0.968849	0.965186	0.086978	0.462516	0.985229	-0.579458	-0.929379	1.116074	-0.074049	-0.485573
 StrongFlank_57	1.408810	0.785775	0.215730	-0.516427	-0.735666	1.411711	1.944249	3.373082	0.079199	-0.571858	0.613684
 StrongFlank_58	1.799239	3.203543	3.548409	3.319374	-0.150736	-1.064416	2.827021	4.405100	1.147380	-0.434033	-0.475093
 StrongFlank_59	0.589600	-0.993013	-0.265909	-0.218583	-1.033281	-1.126193	-1.183247	0.478153	-1.084601	-0.638163	0.520919
 StrongFlank_60	0.026747	-0.057442	0.109312	0.167162	0.727389	1.023740	0.197466	0.739791	-1.084601	-0.283814	0.416499
 StrongFlank_61	-0.634851	-1.078657	-2.269850	-0.070645	-0.812594	1.371231	0.122265	-0.315663	1.330360	0.140685	-0.486404
 StrongFlank_62	1.194778	-1.390682	1.102333	-0.639321	0.089141	1.351169	-0.462632	1.290966	0.041295	-1.293426	0.423354
 StrongFlank_63	-1.864257	-1.360665	-1.477013	-1.190617	0.040949	1.353572	-0.284514	0.106130	0.051703	0.383395	-0.358153
 StrongFlank_64	0.394665	-0.001420	-0.960563	-1.232355	1.358383	-1.113604	0.176866	-0.871438	-0.129701	-1.322228	0.033061
 StrongFlank_65	0.599835	-0.294205	0.385182	0.848515	0.478558	-0.593114	1.657247	0.184302	1.330360	1.010117	1.225046
 StrongFlank_66	0.379495	-1.291256	0.718148	-0.234140	-0.784138	-0.728604	1.058839	0.306400	-0.701009	-0.182169	-0.042062
 StrongFlank_67	-0.014082	0.081598	0.465817	0.149815	-1.233469	0.916935	0.912884	-0.241664	-0.083272	-0.231836	0.625340
 StrongFlank_68	0.717929	0.884824	1.267683	-1.007045	-0.800491	1.553607	1.354076	0.468045	-0.841574	1.098852	0.179041
 StrongFlank_69	-0.380125	-0.800832	1.584145	3.799095	2.768212	0.858904	-0.923805	-0.361188	0.041295	3.145763	-0.486404
 StrongFlank_70	0.150079	-1.277753	-0.608391	-0.396571	0.038569	-0.790494	-0.265286	-0.545456	0.083566	-0.302773	1.065125
 StrongFlank_71	-0.886535	-0.812632	0.516624	-1.256068	0.579862	-0.893595	-1.059754	-0.391950	2.285141	2.392686	0.757076
 StrongFlank_72	-0.258771	2.618030	0.982198	1.464808	0.040949	1.023740	1.297077	1.134594	-1.084601	2.918152	-0.149312
 StrongFlank_73	0.079047	0.850819	-0.683919	-1.092401	1.266841	1.067686	-0.702811	5.032353	-0.083272	-1.377840	-0.253732
 StrongFlank_74	-1.153705	-0.353697	-0.152483	-0.306021	0.564011	-1.047691	0.532384	-0.407137	-1.084601	-0.702291	-1.028384
 StrongFlank_75	2.679788	-0.416903	-0.079623	-1.605659	-0.061479	-0.950148	0.389226	-0.955840	-1.086728	0.885653	0.962442
 StrongFlank_76	2.011337	0.432382	0.156203	0.123236	1.036130	1.081263	0.943379	1.043150	0.083566	-1.705288	0.962442
 StrongFlank_77	-1.205272	-0.076209	1.323971	0.698122	0.721880	-0.633566	0.697622	-0.412672	-0.974043	0.182021	1.225046
 StrongFlank_78	1.663054	1.278142	0.770502	0.194796	-1.086748	0.906388	0.259994	1.613423	0.017310	1.483888	0.145929
 StrongFlank_79	-0.135726	0.971562	1.039302	0.670435	0.816694	1.300918	0.861857	-0.205099	-0.055447	-1.251081	0.097995
 StrongFlank_80	1.304301	1.528493	-0.879270	1.189836	-1.393952	-0.776770	0.619435	-0.088153	1.193496	0.890390	0.315289
 StrongFlank_81	0.981988	1.855838	1.199961	-0.217793	0.040413	1.048392	0.821079	0.045605	0.051703	1.042668	0.729760
 StrongFlank_82	0.417643	0.079499	2.030427	0.330689	1.811398	1.172341	1.699718	0.213097	0.247632	1.326282	0.767783
 StrongFlank_83	2.719558	0.600931	0.332002	0.098223	0.021329	1.067686	0.789057	1.346467	1.188007	-0.787360	0.625340
 StrongFlank_84	1.172107	0.163937	3.061067	3.165717	1.399585	1.088085	0.152090	0.380862	-0.083272	0.900357	0.625340
 StrongFlank_85	-0.971954	-0.240968	-0.816185	0.616106	-0.635112	-0.587570	-0.191153	1.121415	-0.841574	1.931384	0.068490
 StrongFlank_86	-1.446854	0.349829	-0.428092	-0.653399	0.469533	-0.459012	-0.355600	0.987197	0.201218	0.377720	-0.862202
 StrongFlank_87	-0.576196	0.422103	1.100100	2.232600	1.245719	1.414453	0.303460	0.886635	1.193496	2.069369	0.423354
 StrongFlank_88	0.260108	-0.560532	-0.311427	0.112819	0.571608	1.307324	0.093426	1.508745	0.178158	-0.351756	0.315289
 StrongFlank_89	5.837230	-1.193407	0.728495	0.085104	-0.741086	0.797510	0.270960	-1.089780	-0.832237	0.331749	5.551122
 StrongFlank_90	-0.608587	-0.026743	1.267794	-0.212492	0.538459	-0.644366	1.295125	1.319426	0.083566	-0.420454	0.097995
 StrongFlank_91	1.379144	0.951750	1.455325	1.406882	2.312911	1.029920	1.046782	0.804068	2.328026	-0.896476	0.553177
 StrongFlank_92	-0.031762	0.924936	0.316683	2.220524	-0.075822	1.332188	1.306687	4.209892	1.525139	-0.083242	0.179041
 StrongFlank_93	1.343949	2.583768	-0.531335	1.148264	1.775585	-0.101069	0.108326	-0.905919	1.819280	0.325322	0.826924
 StrongFlank_94	-0.019817	-0.782028	-0.562201	-0.129854	0.730616	-0.896148	-0.443978	0.199090	1.053032	0.102806	0.520919
 StrongFlank_95	-0.648778	1.106157	0.210197	-0.993554	-1.001246	0.864626	-0.521437	-1.042599	1.373763	3.096911	-0.975781
 StrongFlank_96	1.350104	-0.644227	0.991737	0.876377	-0.394928	0.312236	-0.840520	-0.786588	-1.220320	0.090738	-0.079806
 StrongFlank_97	0.624258	0.063591	2.061222	1.569481	2.122201	0.697099	0.218761	-0.561016	1.116074	1.898717	1.261066
 StrongFlank_98	-0.260149	2.077964	-0.177785	0.270440	0.459839	0.676843	2.150113	2.198675	-0.129701	-1.092132	-0.804258
 StrongFlank_99	1.478799	1.993501	1.270013	-0.964255	1.195963	0.879376	2.232714	2.282104	2.189336	-0.818225	-0.149312
 StrongFlank_100	-0.550024	0.476136	-1.182557	0.259993	-0.226709	0.760816	0.692135	-0.186514	-1.084601	-1.059429	-0.149312
 StrongFlank_101	-0.350301	-1.744730	0.196991	-0.003953	0.917495	1.520005	-0.753947	-0.738374	1.427813	0.216978	-0.187054
 StrongFlank_102	-0.403146	0.511494	1.802114	-0.203369	-0.424935	1.870303	0.842264	-0.207545	1.819280	0.454111	-0.234769
 StrongFlank_103	1.487944	0.362175	1.465111	0.447197	2.106257	1.148774	-1.140346	0.608424	0.048083	-0.433360	1.371353
 StrongFlank_104	1.060732	-0.054394	0.895609	-0.498634	-0.820314	-0.735829	-0.049072	-0.353887	1.193496	1.347308	0.207224
 StrongFlank_105	0.517823	0.363794	0.071997	-0.195517	-1.391542	1.067686	0.031851	2.794499	1.188007	-1.366973	0.729760
 StrongFlank_106	0.860074	1.007889	1.777094	2.216023	2.337266	-0.417905	-0.172554	0.037063	-0.841574	0.065221	1.929872
 StrongFlank_107	0.809076	1.021528	2.649201	0.339059	-1.007065	1.005904	2.850361	2.784101	1.188007	1.363288	-0.923964
 StrongFlank_108	0.021012	0.398369	1.092566	-1.223059	0.564011	1.184556	-0.870461	-1.302701	1.053032	0.705301	0.520919
 StrongFlank_109	-0.296574	0.497888	0.570432	-0.291525	2.241341	1.520005	0.988637	2.325116	-0.983044	1.360703	-0.294990
 StrongFlank_110	-0.096845	-1.175765	-2.057932	0.830103	-0.192381	1.307324	-1.553830	0.488658	1.193496	0.452751	-0.378339
 StrongFlank_111	-0.001190	1.504578	0.370705	1.006914	-0.008012	0.893074	1.273969	1.326884	1.147380	-1.888247	-1.355652
 StrongFlank_112	-0.113111	0.636766	-2.066046	-1.073856	0.785031	0.897357	-0.899170	-1.002582	2.328026	0.218887	-0.485573
 StrongFlank_113	0.838114	0.471299	1.786262	-0.556258	2.135964	1.185908	0.604697	1.805922	0.222385	0.090523	-0.187054
 StrongFlank_114	0.503780	-0.720239	-0.566005	-0.780243	0.778013	-0.945645	-0.175739	-0.001308	1.116074	0.103361	-0.706147
 StrongFlank_115	2.028222	-0.872653	1.070003	0.372705	1.054542	0.347147	0.861705	0.293184	-0.055447	1.520261	-0.663768
 StrongFlank_116	1.727853	0.911485	0.122319	0.322563	1.576001	0.676843	-0.058742	3.194389	-1.367331	-0.631498	0.870381
 StrongFlank_117	1.238838	0.138698	0.404303	0.774913	-0.014879	-1.256307	-0.026455	1.849293	1.260035	0.209278	0.663464
 StrongFlank_118	0.057065	-0.027817	0.055616	0.107181	0.107071	0.797936	0.128523	0.481098	1.107928	0.419158	0.033061
 StrongFlank_119	1.124199	0.492410	2.783835	1.031499	2.836894	0.922399	0.541138	-0.389648	5.963883	3.347265	-0.264999
 StrongFlank_120	0.190296	0.204539	0.805507	-0.229851	0.050941	1.007172	-1.003553	0.566309	0.041295	-0.741661	2.134804
 StrongFlank_121	-0.068652	-0.302624	1.173979	-1.302536	-0.072559	0.872989	0.115714	-0.677466	-1.084601	-0.200626	-0.044892
 StrongFlank_122	0.001596	0.302819	0.369234	-0.392532	0.855721	0.531239	1.640687	-0.114895	-1.030297	0.680187	0.885296
 StrongFlank_123	-0.962807	-0.724437	-0.639119	-1.121637	-0.892112	-1.300998	-1.655801	0.426497	-0.095878	-0.390545	0.442890
 StrongFlank_124	1.413825	-0.126776	0.671410	-0.728710	-0.994904	-0.760075	-0.087547	1.596035	1.193496	1.004852	1.225046
 StrongFlank_125	0.578129	0.177227	0.041937	0.508065	1.380501	-1.160695	1.064818	0.495968	5.598249	0.570477	0.625340
 StrongFlank_126	-0.126688	-0.734776	-1.292836	1.382644	1.316216	1.088085	-0.068281	2.515467	0.051703	-0.897540	-0.253732
 StrongFlank_127	-1.286550	-0.438347	-0.564114	1.385108	-0.156152	0.430673	-1.281360	0.024781	-0.129701	-2.161818	0.033061
 StrongFlank_128	1.801595	3.608855	-0.590324	-1.568526	0.786857	1.257676	0.423793	1.390163	0.083566	0.033285	-0.004688
 StrongFlank_129	0.026747	1.476358	0.983835	0.309244	-0.685614	0.981280	1.229305	0.989666	0.051703	2.417080	-0.044892
 StrongFlank_130	-0.099121	-0.623618	0.646222	0.834299	-0.075065	0.609226	1.002202	-1.893620	0.048083	1.964701	-0.485573
 StrongFlank_131	-0.276180	-1.386753	-1.804954	0.339457	-1.072504	-1.173505	-1.174879	0.630433	-0.837180	-1.460952	-0.594469
 StrongFlank_132	-0.629522	1.751146	-0.995165	0.455846	-0.614756	1.617916	-0.460948	0.451507	1.525139	-1.405351	1.819321
 StrongFlank_133	1.045759	0.273891	-0.096158	-0.165633	0.945002	0.983414	-0.022949	-0.937740	0.186679	0.060235	1.504412
 StrongFlank_134	-1.038310	1.034844	-0.630469	-0.104050	-0.465997	-0.565212	0.190551	1.101483	0.222385	2.002733	-0.402927
 StrongFlank_135	6.225352	0.341150	1.071461	-1.527286	0.145658	1.041479	0.295170	0.411128	-1.220320	2.776746	0.258796
 StrongFlank_136	0.748659	-1.759370	-0.499742	1.571904	0.647252	-0.769808	-0.822795	-0.015428	-0.038465	0.407476	0.524162
 StrongFlank_137	1.151986	1.154280	-0.544507	-0.726938	-0.779087	1.204355	2.524656	-1.247985	-1.073308	0.810495	0.033061
 StrongFlank_138	0.365450	1.391342	-0.049837	-0.437384	0.585184	1.296733	1.496609	-0.555308	1.253860	-1.225435	0.859759
 StrongFlank_139	0.962365	-0.806911	-1.149803	-0.695621	-0.744510	-0.594527	0.241954	1.234992	1.193496	0.089483	1.225046
 StrongFlank_140	-1.751651	-0.201494	-1.277544	0.337037	0.371383	0.943721	-1.536862	1.695839	-1.084601	1.266335	-0.358153
 StrongFlank_141	0.150106	0.688789	-0.475402	-0.491098	-0.086135	1.455658	-0.399117	0.708115	0.365571	-1.059267	0.721621
 StrongFlank_142	0.163975	0.922113	-0.412035	0.805159	-0.018516	0.623696	-0.522646	1.431042	1.221965	-0.259700	-0.103999
 StrongFlank_143	0.414921	0.857426	1.544383	1.075515	-0.013426	-0.554182	0.277875	2.457302	1.193496	2.420118	-0.594469
 StrongFlank_144	0.631392	-0.602339	1.354095	0.723257	2.463703	1.578245	1.053276	0.118781	0.201218	-0.115108	0.999181
 StrongFlank_145	-0.011742	-0.082778	1.882591	1.118658	0.383324	0.628453	-1.073407	0.999267	1.114847	0.252991	-0.766451
 StrongFlank_146	-0.942245	1.187869	-1.362801	2.082583	1.290206	1.095902	0.554282	1.962935	1.107928	1.392642	-1.641578
 StrongFlank_147	0.299819	1.136209	-0.796734	-1.573379	-0.978222	1.046833	-0.406011	-0.239176	0.178158	0.337628	1.116981
 StrongFlank_148	4.013978	2.216651	3.215347	1.130584	0.161163	1.085872	2.363926	3.257115	0.041295	-0.624722	1.008916
 StrongFlank_149	1.478799	0.329320	1.673122	1.530227	-0.172342	0.961958	0.005706	0.336323	1.188007	1.310775	-0.149312
 StrongFlank_150	0.364053	2.906881	1.094242	3.889875	1.900312	1.414453	1.725468	0.137168	-0.974043	-0.458497	0.423354
 StrongFlank_151	0.860074	-0.788878	-0.494981	-1.983912	-1.526722	-0.756501	-0.486616	-1.068139	1.384574	-0.822398	-0.042062
 StrongFlank_152	-0.166355	0.281177	0.741448	0.457364	0.586782	0.903852	-0.116514	-0.126542	0.048083	0.728249	1.371353
 StrongFlank_153	2.388355	1.125440	0.907424	1.128054	0.627472	-0.811297	0.133626	-0.111788	-0.055447	0.339892	0.859759
 StrongFlank_154	0.852967	-0.974082	0.638500	-0.626105	-0.216615	1.257676	0.134525	0.432545	-1.225740	-0.746623	-0.004688
 StrongFlank_155	-0.789380	2.643825	0.536059	0.737256	-0.520275	-0.816560	1.231421	-0.802619	-0.841574	-1.642108	-1.571789
 StrongFlank_156	-0.922630	-0.647167	-0.856281	0.991675	-0.368501	-0.998605	-0.398785	-0.917884	-0.983044	0.026190	-0.187054
 StrongFlank_157	-2.073423	0.095866	0.405811	-0.556737	-1.933114	-0.101069	0.616908	-3.255322	-1.673769	-1.673287	-2.743512
 StrongFlank_158	-0.025552	0.966917	-1.693014	-0.710888	0.856711	0.921632	-0.328404	-1.142584	0.051703	-0.390006	-0.253732
 StrongFlank_159	-0.380125	0.257056	-1.504384	-0.629094	-2.420502	-0.776770	-0.289268	-1.324782	1.193496	1.055944	-0.486404
 StrongFlank_160	1.836094	3.052630	0.334491	1.205537	-0.364408	-0.683481	3.089895	1.948055	0.051703	0.171704	-0.044892
 StrongFlank_161	1.752846	0.521500	-0.147014	0.226291	0.730616	-0.805760	0.221236	-0.146802	-1.219576	1.862598	-0.149312
 StrongFlank_162	-0.966275	-0.043293	-0.968788	-0.426916	-1.485121	-0.502934	0.424365	-1.242963	-0.841574	0.482473	-0.862202
 StrongFlank_163	0.080772	0.462173	0.805110	0.787461	-1.387914	1.088393	-0.068936	-0.136742	1.193496	0.146060	2.242869
 StrongFlank_164	-0.623694	3.851330	3.152705	0.699170	-1.075731	0.763995	2.085082	-0.534761	-1.989381	0.143807	0.423354
 StrongFlank_165	0.956787	-0.019873	0.640139	-0.202453	-0.377303	-0.737731	1.605018	-0.775146	1.330360	-0.293896	3.044561
 StrongFlank_166	0.875118	-0.489182	-1.338072	2.093276	-0.113833	1.184556	0.443436	-0.006930	1.053032	2.276441	-1.132804
 StrongFlank_167	0.756776	-0.041459	1.406703	4.210578	2.186345	1.027993	0.669890	2.153781	-0.083272	-0.129189	-1.028384
